table_name,column_name,column_type
silk_profile,id,num
silk_profile,name,string
silk_profile,start_time,date
silk_profile,end_time,date
silk_profile,time_taken,num
silk_profile,file_path,string
silk_profile,line_num,num
silk_profile,end_line_num,num
silk_profile,func_name,string
silk_profile,exception_raised,num
silk_profile,dynamic,num
silk_profile,request_id,string
silk_profile_queries,id,num
silk_profile_queries,profile_id,num
silk_profile_queries,sqlquery_id,num
silk_request,id,string
silk_request,path,string
silk_request,query_params,string
silk_request,raw_body,string
silk_request,body,string
silk_request,method,string
silk_request,start_time,date
silk_request,view_name,string
silk_request,end_time,date
silk_request,time_taken,num
silk_request,encoded_headers,string
silk_request,meta_time,num
silk_request,meta_num_queries,num
silk_request,meta_time_spent_queries,num
silk_request,pyprofile,string
silk_request,num_sql_queries,num
silk_request,prof_file,string
silk_response,id,string
silk_response,status_code,num
silk_response,raw_body,string
silk_response,body,string
silk_response,encoded_headers,string
silk_response,request_id,string
silk_sqlquery,id,num
silk_sqlquery,query,string
silk_sqlquery,start_time,date
silk_sqlquery,end_time,date
silk_sqlquery,time_taken,num
silk_sqlquery,traceback,string
silk_sqlquery,request_id,string
silk_sqlquery,identifier,num
