table_name,column_name,column_type
Award,award,string
Award,award_category,string
Award,award_id,num
Award,episode_id,string
Award,organization,string
Award,person,string
Award,result,string
Award,role,string
Award,season,num
Award,song,string
Award,year,num
Character_Award,award_id,num
Character_Award,character,string
Credit,category,string
Credit,credited,boolean
Credit,episode_id,string
Credit,person,string
Credit,role,string
Episode,air_date,date
Episode,episode,num
Episode,episode_id,string
Episode,episode_image,string
Episode,number_in_series,string
Episode,rating,num
Episode,season,num
Episode,summary,string
Episode,title,string
Episode,votes,num
Keyword,episode_id,string
Keyword,keyword,string
Person,birth_country,string
Person,birth_name,string
Person,birth_place,string
Person,birth_region,string
Person,birthdate,date
Person,height_meters,num
Person,name,string
Person,nickname,string
Vote,episode_id,string
Vote,percent,num
Vote,stars,num
Vote,votes,num
