table_name,column_name,column_type
accessories,id,num
accessories,name,string
accessories,category_id,num
accessories,user_id,num
accessories,qty,num
accessories,requestable,num
accessories,created_at,date
accessories,updated_at,date
accessories,deleted_at,date
accessories,location_id,num
accessories,purchase_date,date
accessories,purchase_cost,num
accessories,order_number,string
accessories,company_id,num
accessories,min_amt,num
accessories,manufacturer_id,num
accessories,model_number,string
accessories,image,string
accessories,supplier_id,num
accessories_users,id,num
accessories_users,user_id,num
accessories_users,accessory_id,num
accessories_users,assigned_to,num
accessories_users,created_at,date
accessories_users,updated_at,date
action_logs,id,num
action_logs,user_id,num
action_logs,action_type,string
action_logs,target_id,num
action_logs,target_type,string
action_logs,location_id,num
action_logs,note,string
action_logs,filename,string
action_logs,item_type,string
action_logs,item_id,num
action_logs,expected_checkin,date
action_logs,accepted_id,num
action_logs,created_at,date
action_logs,updated_at,date
action_logs,deleted_at,date
action_logs,thread_id,num
action_logs,company_id,num
action_logs,accept_signature,string
action_logs,log_meta,string
asset_logs,id,num
asset_logs,user_id,num
asset_logs,action_type,string
asset_logs,asset_id,num
asset_logs,checkedout_to,num
asset_logs,location_id,num
asset_logs,created_at,date
asset_logs,updated_at,date
asset_logs,deleted_at,date
asset_logs,asset_type,string
asset_logs,note,string
asset_logs,filename,string
asset_logs,requested_at,date
asset_logs,accepted_at,date
asset_logs,accessory_id,num
asset_logs,accepted_id,num
asset_logs,consumable_id,num
asset_logs,expected_checkin,date
asset_logs,component_id,num
asset_maintenances,id,num
asset_maintenances,asset_id,num
asset_maintenances,supplier_id,num
asset_maintenances,asset_maintenance_type,string
asset_maintenances,title,string
asset_maintenances,is_warranty,num
asset_maintenances,start_date,date
asset_maintenances,completion_date,date
asset_maintenances,asset_maintenance_time,num
asset_maintenances,notes,string
asset_maintenances,cost,num
asset_maintenances,deleted_at,date
asset_maintenances,created_at,date
asset_maintenances,updated_at,date
asset_maintenances,user_id,num
asset_uploads,id,num
asset_uploads,user_id,num
asset_uploads,filename,string
asset_uploads,asset_id,num
asset_uploads,filenotes,string
asset_uploads,created_at,date
