table_name,column_name,column_type
Ball_by_Ball,Ball_Id,num
Ball_by_Ball,Bowler,num
Ball_by_Ball,Innings_No,num
Ball_by_Ball,Match_Id,num
Ball_by_Ball,Non_Striker,num
Ball_by_Ball,Over_Id,num
Ball_by_Ball,Striker,num
Ball_by_Ball,Striker_Batting_Position,num
Ball_by_Ball,Team_Batting,num
Ball_by_Ball,Team_Bowling,num
Batsman_Scored,Ball_Id,num
Batsman_Scored,Innings_No,num
Batsman_Scored,Match_Id,num
Batsman_Scored,Over_Id,num
Batsman_Scored,Runs_Scored,num
Batting_Style,Batting_Id,num
Batting_Style,Batting_hand,boolean
Bowling_Style,Bowling_Id,num
Bowling_Style,Bowling_skill,string
City,City_Id,num
City,City_Name,string
City,Country_id,num
Country,Country_Id,num
Country,Country_Name,string
Extra_Runs,Ball_Id,num
Extra_Runs,Extra_Runs,num
Extra_Runs,Extra_Type_Id,num
Extra_Runs,Innings_No,num
Extra_Runs,Match_Id,num
Extra_Runs,Over_Id,num
Extra_Type,Extra_Id,num
Extra_Type,Extra_Name,string
Match,Man_of_the_Match,num
Match,Match_Date,date
Match,Match_Id,num
Match,Match_Winner,num
Match,Outcome_type,num
Match,Season_Id,num
Match,Team_1,num
Match,Team_2,num
Match,Toss_Decide,num
Match,Toss_Winner,num
Match,Venue_Id,num
Match,Win_Margin,num
Match,Win_Type,num
Out_Type,Out_Id,num
Out_Type,Out_Name,string
Outcome,Outcome_Id,num
Outcome,Outcome_Type,string
Player,Batting_hand,num
Player,Bowling_skill,num
Player,Country_Name,num
Player,DOB,date
Player,Player_Id,num
Player,Player_Name,string
Player_Match,Match_Id,num
Player_Match,Player_Id,num
Player_Match,Role_Id,num
Player_Match,Team_Id,num
Rolee,Role_Desc,string
Rolee,Role_Id,num
Season,Man_of_the_Series,num
Season,Orange_Cap,num
Season,Purple_Cap,num
Season,Season_Id,num
Season,Season_Year,num
Team,Team_Id,num
Team,Team_Name,string
Toss_Decision,Toss_Id,num
Toss_Decision,Toss_Name,boolean
Umpire,Umpire_Country,num
Umpire,Umpire_Id,num
Umpire,Umpire_Name,string
Venue,City_Id,num
Venue,Venue_Id,num
Venue,Venue_Name,string
Wicket_Taken,Ball_Id,num
Wicket_Taken,Fielders,num
Wicket_Taken,Innings_No,string
Wicket_Taken,Kind_Out,num
Wicket_Taken,Match_Id,num
Wicket_Taken,Over_Id,num
Wicket_Taken,Player_Out,string
Win_By,Win_Id,num
Win_By,Win_Type,string
