table_name,column_name,column_type
location,City,string
location,Country,string
location,LocationID,num
location,State,string
location,StateCode,string
twitter,Day,num
twitter,Hour,num
twitter,IsReshare,boolean
twitter,Klout,num
twitter,Lang,string
twitter,Likes,num
twitter,LocationID,num
twitter,Reach,num
twitter,RetweetCount,num
twitter,Sentiment,num
twitter,TweetID,string
twitter,UserID,num
twitter,Weekday,string
twitter,text,string
user,Gender,string
user,UserID,string
