table_name,column_name,column_type
Customers,EDUCATIONNUM,num
Customers,GEOID,num
Customers,ID,num
Customers,MARITAL_STATUS,string
Customers,OCCUPATION,string
Customers,SEX,boolean
Customers,age,num
Demog,GEOID,num
Demog,INCOME_K,num
Demog,INHABITANTS_K,num
Mailings1_2,REFID,num
Mailings1_2,REF_DATE,date
Mailings1_2,RESPONSE,boolean
Sales,AMOUNT,num
Sales,EVENTID,num
Sales,EVENT_DATE,date
Sales,REFID,num
mailings3,REFID,num
mailings3,REF_DATE,date
mailings3,RESPONSE,boolean
