table_name,column_name,column_type
Addresses,Address_ID,num
Addresses,address_details,string
Agreements,Document_ID,num
Agreements,Event_ID,num
Assets,Asset_ID,num
Assets,Other_Details,string
Assets_in_Events,Asset_ID,num
Assets_in_Events,Event_ID,num
Channels,Channel_ID,num
Channels,Other_Details,string
Events,Event_ID,num
Events,Address_ID,num
Events,Channel_ID,num
Events,Event_Type_Code,string
Events,Finance_ID,num
Events,Location_ID,num
Finances,Finance_ID,num
Finances,Other_Details,string
Locations,Location_ID,num
Locations,Other_Details,string
Parties,Party_ID,num
Parties,Party_Details,string
Parties_in_Events,Party_ID,num
Parties_in_Events,Event_ID,num
Parties_in_Events,Role_Code,string
Products,Product_ID,num
Products,Product_Type_Code,string
Products,Product_Name,string
Products,Product_Price,others
Products_in_Events,Product_in_Event_ID,num
Products_in_Events,Event_ID,num
Products_in_Events,Product_ID,num
