table_name,column_name,column_type
club,Club_ID,num
club,name,string
club,Region,string
club,Start_year,string
club_rank,Rank,num
club_rank,Club_ID,num
club_rank,Gold,num
club_rank,Silver,num
club_rank,Bronze,num
club_rank,Total,num
competition,Competition_ID,num
competition,Year,num
competition,Competition_type,string
competition,Country,string
competition_result,Competition_ID,num
competition_result,Club_ID_1,num
competition_result,Club_ID_2,num
competition_result,Score,string
player,Player_ID,num
player,name,string
player,Position,string
player,Club_ID,num
player,Apps,num
player,Tries,num
player,Goals,string
player,Points,num
