table_name,column_name,column_type
route,train_id,num
route,station_id,num
station,id,num
station,network_name,string
station,services,string
station,local_authority,string
train,id,num
train,train_number,num
train,name,string
train,origin,string
train,destination,string
train,time,string
train,interval,string
weekly_weather,station_id,num
weekly_weather,day_of_week,string
weekly_weather,high_temperature,num
weekly_weather,low_temperature,num
weekly_weather,precipitation,num
weekly_weather,wind_speed_mph,num
