table_name,column_name,column_type
tracker_agents,id,num
tracker_agents,name,string
tracker_agents,browser,string
tracker_agents,browser_version,string
tracker_agents,created_at,date
tracker_agents,updated_at,date
tracker_agents,name_hash,string
tracker_connections,id,num
tracker_connections,name,string
tracker_connections,created_at,date
tracker_connections,updated_at,date
tracker_cookies,id,num
tracker_cookies,uuid,string
tracker_cookies,created_at,date
tracker_cookies,updated_at,date
tracker_devices,id,num
tracker_devices,kind,string
tracker_devices,model,string
tracker_devices,platform,string
tracker_devices,platform_version,string
tracker_devices,is_mobile,num
tracker_devices,created_at,date
tracker_devices,updated_at,date
tracker_domains,id,num
tracker_domains,name,string
tracker_domains,created_at,date
tracker_domains,updated_at,date
tracker_errors,id,num
tracker_errors,code,string
tracker_errors,message,string
tracker_errors,created_at,date
tracker_errors,updated_at,date
tracker_events,id,num
tracker_events,name,string
tracker_events,created_at,date
tracker_events,updated_at,date
tracker_events_log,id,num
tracker_events_log,event_id,num
tracker_events_log,class_id,num
tracker_events_log,log_id,num
tracker_events_log,created_at,date
tracker_events_log,updated_at,date
tracker_geoip,id,num
tracker_geoip,latitude,num
tracker_geoip,longitude,num
tracker_geoip,country_code,string
tracker_geoip,country_code3,string
tracker_geoip,country_name,string
tracker_geoip,region,string
tracker_geoip,city,string
tracker_geoip,postal_code,string
tracker_geoip,area_code,num
tracker_geoip,dma_code,num
tracker_geoip,metro_code,num
tracker_geoip,continent_code,string
tracker_geoip,created_at,date
tracker_geoip,updated_at,date
tracker_languages,id,num
tracker_languages,preference,string
tracker_languages,created_at,date
tracker_languages,updated_at,date
tracker_log,id,num
tracker_log,session_id,num
tracker_log,path_id,num
tracker_log,query_id,num
tracker_log,method,string
tracker_log,route_path_id,num
tracker_log,is_ajax,num
tracker_log,is_secure,num
tracker_log,is_json,num
tracker_log,wants_json,num
tracker_log,error_id,num
tracker_log,created_at,date
tracker_log,updated_at,date
tracker_log,referer_id,num
tracker_paths,id,num
tracker_paths,path,string
tracker_paths,created_at,date
tracker_paths,updated_at,date
tracker_queries,id,num
tracker_queries,query,string
tracker_queries,created_at,date
tracker_queries,updated_at,date
tracker_query_arguments,id,num
tracker_query_arguments,query_id,num
tracker_query_arguments,argument,string
tracker_query_arguments,value,string
tracker_query_arguments,created_at,date
tracker_query_arguments,updated_at,date
tracker_referers,id,num
tracker_referers,domain_id,num
tracker_referers,url,string
tracker_referers,host,string
tracker_referers,created_at,date
tracker_referers,updated_at,date
tracker_referers,medium,string
tracker_referers,source,string
tracker_referers,search_terms_hash,string
tracker_referers_search_terms,id,num
tracker_referers_search_terms,referer_id,num
tracker_referers_search_terms,search_term,string
tracker_referers_search_terms,created_at,date
tracker_referers_search_terms,updated_at,date
tracker_route_path_parameters,id,num
tracker_route_path_parameters,route_path_id,num
tracker_route_path_parameters,parameter,string
tracker_route_path_parameters,value,string
tracker_route_path_parameters,created_at,date
tracker_route_path_parameters,updated_at,date
tracker_route_paths,id,num
tracker_route_paths,route_id,num
tracker_route_paths,path,string
tracker_route_paths,created_at,date
tracker_route_paths,updated_at,date
tracker_routes,id,num
tracker_routes,name,string
tracker_routes,action,string
tracker_routes,created_at,date
tracker_routes,updated_at,date
tracker_sessions,id,num
tracker_sessions,uuid,string
tracker_sessions,user_id,num
tracker_sessions,device_id,num
tracker_sessions,agent_id,num
tracker_sessions,client_ip,string
tracker_sessions,referer_id,num
tracker_sessions,cookie_id,num
tracker_sessions,geoip_id,num
tracker_sessions,is_robot,num
tracker_sessions,created_at,date
tracker_sessions,updated_at,date
tracker_sessions,language_id,num
tracker_sql_queries,id,num
tracker_sql_queries,sha1,string
tracker_sql_queries,statement,string
tracker_sql_queries,time,num
tracker_sql_queries,connection_id,num
tracker_sql_queries,created_at,date
tracker_sql_queries,updated_at,date
tracker_sql_queries_log,id,num
tracker_sql_queries_log,log_id,num
tracker_sql_queries_log,sql_query_id,num
tracker_sql_queries_log,created_at,date
tracker_sql_queries_log,updated_at,date
tracker_sql_query_bindings,id,num
tracker_sql_query_bindings,sha1,string
tracker_sql_query_bindings,serialized,string
tracker_sql_query_bindings,created_at,date
tracker_sql_query_bindings,updated_at,date
tracker_sql_query_bindings_parameters,id,num
tracker_sql_query_bindings_parameters,sql_query_bindings_id,num
tracker_sql_query_bindings_parameters,name,string
tracker_sql_query_bindings_parameters,value,string
tracker_sql_query_bindings_parameters,created_at,date
tracker_sql_query_bindings_parameters,updated_at,date
tracker_system_classes,id,num
tracker_system_classes,name,string
tracker_system_classes,created_at,date
tracker_system_classes,updated_at,date
