table_name,column_name,column_type
api_tokens,id,num
api_tokens,name,string
api_tokens,token,string
api_tokens,secret,string
api_tokens,created_at,date
api_tokens,updated_at,date
delayed_jobs,id,num
delayed_jobs,priority,num
delayed_jobs,attempts,num
delayed_jobs,handler,string
delayed_jobs,last_error,string
delayed_jobs,run_at,date
delayed_jobs,locked_at,date
delayed_jobs,failed_at,date
delayed_jobs,locked_by,string
delayed_jobs,queue,string
delayed_jobs,created_at,date
delayed_jobs,updated_at,date
email_templates,id,num
email_templates,name,string
email_templates,subject,string
email_templates,content,string
email_templates,created_at,date
email_templates,updated_at,date
history_items,id,num
history_items,item_type,string
history_items,item_id,num
history_items,date,date
issue_service_joins,id,num
issue_service_joins,issue_id,num
issue_service_joins,service_id,num
issue_service_joins,created_at,date
issue_service_joins,updated_at,date
issue_updates,id,num
issue_updates,issue_id,num
issue_updates,user_id,num
issue_updates,service_status_id,num
issue_updates,state,string
issue_updates,text,string
issue_updates,created_at,date
issue_updates,updated_at,date
issue_updates,identifier,string
issue_updates,notify,num
issues,id,num
issues,title,string
issues,state,string
issues,service_status_id,num
issues,all_services,num
issues,created_at,date
issues,updated_at,date
issues,user_id,num
issues,identifier,string
issues,notify,num
maintenance_service_joins,id,num
maintenance_service_joins,maintenance_id,num
maintenance_service_joins,service_id,num
maintenance_service_joins,created_at,date
maintenance_service_joins,updated_at,date
maintenance_updates,id,num
maintenance_updates,maintenance_id,num
maintenance_updates,user_id,num
maintenance_updates,text,string
maintenance_updates,created_at,date
maintenance_updates,updated_at,date
maintenance_updates,identifier,string
maintenance_updates,notify,num
maintenances,id,num
maintenances,title,string
maintenances,description,string
maintenances,start_at,date
maintenances,finish_at,date
maintenances,length_in_minutes,num
maintenances,user_id,num
maintenances,service_status_id,num
maintenances,created_at,date
maintenances,updated_at,date
maintenances,closed_at,date
maintenances,identifier,string
maintenances,notify,num
nifty_attachments,id,num
nifty_attachments,parent_id,num
nifty_attachments,parent_type,string
nifty_attachments,token,string
nifty_attachments,digest,string
nifty_attachments,role,string
nifty_attachments,file_name,string
nifty_attachments,file_type,string
nifty_attachments,created_at,date
nifty_attachments,updated_at,date
schema_migrations,version,string
service_groups,id,num
service_groups,name,string
service_groups,created_at,date
service_groups,updated_at,date
service_statuses,id,num
service_statuses,name,string
service_statuses,permalink,string
service_statuses,color,string
service_statuses,status_type,string
service_statuses,created_at,date
service_statuses,updated_at,date
services,id,num
services,name,string
services,permalink,string
services,position,num
services,created_at,date
services,updated_at,date
services,status_id,num
services,description,string
services,group_id,num
sites,id,num
sites,title,string
sites,description,string
sites,domain,string
sites,support_email,string
sites,website_url,string
sites,time_zone,string
sites,crawling_permitted,num
sites,email_from_name,string
sites,email_from_address,string
sites,allow_subscriptions,num
sites,http_protocol,string
subscribers,id,num
subscribers,email_address,string
subscribers,verification_token,string
subscribers,verified_at,date
subscribers,created_at,date
subscribers,updated_at,date
users,id,num
users,email_address,string
users,name,string
users,password_digest,string
users,created_at,date
users,updated_at,date
