table_name,column_name,column_type
albums,id,num
albums,title,string
albums,artist_id,num
artists,id,num
artists,name,string
customers,id,num
customers,first_name,string
customers,last_name,string
customers,company,string
customers,address,string
customers,city,string
customers,state,string
customers,country,string
customers,postal_code,string
customers,phone,string
customers,fax,string
customers,email,string
customers,support_rep_id,num
employees,id,num
employees,last_name,string
employees,first_name,string
employees,title,string
employees,reports_to,num
employees,birth_date,date
employees,hire_date,date
employees,address,string
employees,city,string
employees,state,string
employees,country,string
employees,postal_code,string
employees,phone,string
employees,fax,string
employees,email,string
genres,id,num
genres,name,string
invoice_lines,id,num
invoice_lines,invoice_id,num
invoice_lines,track_id,num
invoice_lines,unit_price,num
invoice_lines,quantity,num
invoices,id,num
invoices,customer_id,num
invoices,invoice_date,date
invoices,billing_address,string
invoices,billing_city,string
invoices,billing_state,string
invoices,billing_country,string
invoices,billing_postal_code,string
invoices,total,num
media_types,id,num
media_types,name,string
playlist_tracks,playlist_id,num
playlist_tracks,track_id,num
playlists,id,num
playlists,name,string
tracks,id,num
tracks,name,string
tracks,album_id,num
tracks,media_type_id,num
tracks,genre_id,num
tracks,composer,string
tracks,milliseconds,num
tracks,bytes,num
tracks,unit_price,num
