table_name,column_name,column_type
district,District_ID,num
district,District_name,string
district,Headquartered_City,string
district,City_Population,num
district,City_Area,num
product,product_id,num
product,product,string
product,dimensions,string
product,dpi,num
product,pages_per_minute_color,num
product,max_page_size,string
product,interface,string
store,Store_ID,num
store,Store_Name,string
store,Type,string
store,Area_size,num
store,Number_of_product_category,num
store,Ranking,num
store_district,Store_ID,num
store_district,District_ID,num
store_product,Store_ID,num
store_product,Product_ID,num
