table_name,column_name,column_type
users,id,num
users,level_id,num
streaks,id,num
streaks,user_id,num
streaks,activity_id,num
streaks,count,num
streaks,activity_at,date
streaks,frozen_until,date
streaks,created_at,date
streaks,updated_at,date
streak_histories,id,num
streak_histories,user_id,num
streak_histories,streak_activity_id,num
streak_histories,count,num
streak_histories,started_at,date
streak_histories,ended_at,date
streak_histories,created_at,date
streak_histories,updated_at,date
streak_activities,id,num
streak_activities,name,string
streak_activities,description,string
streak_activities,created_at,date
streak_activities,updated_at,date
levels,id,num
levels,level,num
levels,next_level_experience,num
levels,created_at,num
levels,updated_at,num
experiences,id,num
experiences,user_id,num
experiences,level_id,num
experiences,experience_points,num
experiences,created_at,date
experiences,updated_at,date
experience_audits,id,num
experience_audits,user_id,num
experience_audits,points,num
experience_audits,levelled_up,boolean
experience_audits,level_to,num
experience_audits,type,string
experience_audits,reason,string
experience_audits,created_at,date
experience_audits,updated_at,date
achievements,id,num
achievements,name,string
achievements,is_secret,boolean
achievements,description,string
achievements,image,string
achievements,created_at,date
achievements,updated_at,date
achievement_user,id,num
achievement_user,user_id,num
achievement_user,achievement_id,num
achievement_user,progress,num
achievement_user,created_at,date
achievement_user,updated_at,date
