table_name,column_name,column_type
users,id,num
users,stripe_id,string
users,pm_type,string
users,pm_last_four,string
users,trial_ends_at,date
users,created_at,date
users,updated_at,date
subscriptions,id,num
subscriptions,user_id,num
subscriptions,name,string
subscriptions,stripe_id,string
subscriptions,stripe_status,string
subscriptions,stripe_price,string
subscriptions,quantity,num
subscriptions,trial_ends_at,date
subscriptions,ends_at,date
subscriptions,created_at,date
subscriptions,updated_at,date
subscription_items,id,num
subscription_items,subscription_id,num
subscription_items,stripe_id,string
subscription_items,stripe_product,string
subscription_items,stripe_price,string
subscription_items,quantity,num
subscription_items,created_at,date
subscription_items,updated_at,date
