table_name,column_name,column_type
subscriptions,id,num
subscriptions,user_id,num
subscriptions,name,string
subscriptions,stripe_id,string
subscriptions,stripe_status,string
subscriptions,stripe_price,num
subscriptions,quantity,num
subscriptions,trial_ends_at,date
subscriptions,ends_at,date
subscriptions,updated_at,date
subscriptions,created_at,date
users,id,num
users,stripe_id,num
users,pm_type,num
users,pm_last_four,string
users,pm_expiration,string
users,extra_billing_information,string
users,trial_ends_at,date
users,billing_address,string
users,billing_address_line_2,string
users,billing_city,string
users,billing_state,string
users,billing_postal_code,string
users,billing_country,string
users,vat_id,string
users,receipt_emails,string
subscription_items,id,num
subscription_items,subscription_id,num
subscription_items,stripe_id,string
subscription_items,stripe_product,string
subscription_items,stripe_price,string
subscription_items,quantity,num
subscription_items,updated_at,date
subscription_items,created_at,date
receipts,id,num
receipts,user_id,num
receipts,provider_id,num
receipts,amount,string
receipts,tax,string
receipts,paid_at,date
receipts,updated_at,date
receipts,created_at,date
tax_rates,id,num
tax_rates,stripe_id,string
tax_rates,percentage,num
tax_rates,updated_at,date
tax_rates,created_at,date
