table_name,column_name,column_type
Addresses,address_id,num
Addresses,line_1,string
Addresses,line_2,string
Addresses,city,string
Addresses,zip_postcode,string
Addresses,state_province_county,string
Addresses,country,string
Candidate_Assessments,candidate_id,num
Candidate_Assessments,qualification,string
Candidate_Assessments,assessment_date,date
Candidate_Assessments,asessment_outcome_code,string
Candidates,candidate_id,num
Candidates,candidate_details,string
Courses,course_id,string
Courses,course_name,string
Courses,course_description,string
Courses,other_details,string
People,person_id,num
People,first_name,string
People,middle_name,string
People,last_name,string
People,cell_mobile_number,string
People,email_address,string
People,login_name,string
People,password,string
People_Addresses,person_address_id,num
People_Addresses,person_id,num
People_Addresses,address_id,num
People_Addresses,date_from,date
People_Addresses,date_to,date
Student_Course_Attendance,student_id,num
Student_Course_Attendance,course_id,num
Student_Course_Attendance,date_of_attendance,date
Student_Course_Registrations,student_id,num
Student_Course_Registrations,course_id,num
Student_Course_Registrations,registration_date,date
Students,student_id,num
Students,student_details,string
