table_name,column_name,column_type
Addresses,address_id,num
Addresses,line_1,string
Addresses,line_2,string
Addresses,line_3,string
Addresses,city,string
Addresses,zip_postcode,string
Addresses,state_province_county,string
Addresses,country,string
Addresses,other_address_details,string
Courses,course_id,num
Courses,course_name,string
Courses,course_description,string
Courses,other_details,string
Degree_Programs,degree_program_id,num
Degree_Programs,department_id,num
Degree_Programs,degree_summary_name,string
Degree_Programs,degree_summary_description,string
Degree_Programs,other_details,string
Departments,department_id,num
Departments,department_name,string
Departments,department_description,string
Departments,other_details,string
Sections,section_id,num
Sections,course_id,num
Sections,section_name,string
Sections,section_description,string
Sections,other_details,string
Semesters,semester_id,num
Semesters,semester_name,string
Semesters,semester_description,string
Semesters,other_details,string
Student_Enrolment,student_enrolment_id,num
Student_Enrolment,degree_program_id,num
Student_Enrolment,semester_id,num
Student_Enrolment,student_id,num
Student_Enrolment,other_details,string
Student_Enrolment_Courses,student_course_id,num
Student_Enrolment_Courses,course_id,num
Student_Enrolment_Courses,student_enrolment_id,num
Students,student_id,num
Students,current_address_id,num
Students,permanent_address_id,num
Students,first_name,string
Students,middle_name,string
Students,last_name,string
Students,cell_mobile_number,string
Students,email_address,string
Students,ssn,string
Students,date_first_registered,date
Students,date_left,date
Students,other_student_details,string
Transcript_Contents,student_course_id,num
Transcript_Contents,transcript_id,num
Transcripts,transcript_id,num
Transcripts,transcript_date,date
Transcripts,other_details,string
