table_name,column_name,column_type
event,ID,num
event,Name,string
event,Stadium_ID,num
event,Year,string
record,ID,num
record,Result,string
record,Swimmer_ID,num
record,Event_ID,num
stadium,ID,num
stadium,name,string
stadium,Capacity,num
stadium,City,string
stadium,Country,string
stadium,Opening_year,num
swimmer,ID,num
swimmer,name,string
swimmer,Nationality,string
swimmer,meter_100,num
swimmer,meter_200,string
swimmer,meter_300,string
swimmer,meter_400,string
swimmer,meter_500,string
swimmer,meter_600,string
swimmer,meter_700,string
swimmer,Time,string
