table_name,column_name,column_type
messenger_messages,id,num
messenger_messages,body,string
messenger_messages,headers,string
messenger_messages,queue_name,string
messenger_messages,created_at,date
messenger_messages,available_at,date
messenger_messages,delivered_at,date
sylius_address,id,num
sylius_address,customer_id,num
sylius_address,first_name,string
sylius_address,last_name,string
sylius_address,phone_number,string
sylius_address,street,string
sylius_address,company,string
sylius_address,city,string
sylius_address,postcode,string
sylius_address,created_at,date
sylius_address,updated_at,date
sylius_address,country_code,string
sylius_address,province_code,string
sylius_address,province_name,string
sylius_address_log_entries,id,num
sylius_address_log_entries,action,string
sylius_address_log_entries,logged_at,date
sylius_address_log_entries,object_id,string
sylius_address_log_entries,object_class,string
sylius_address_log_entries,version,num
sylius_address_log_entries,data,string
sylius_address_log_entries,username,string
sylius_admin_user,id,num
sylius_admin_user,username,string
sylius_admin_user,username_canonical,string
sylius_admin_user,enabled,num
sylius_admin_user,salt,string
sylius_admin_user,password,string
sylius_admin_user,last_login,date
sylius_admin_user,password_reset_token,string
sylius_admin_user,password_requested_at,date
sylius_admin_user,email_verification_token,string
sylius_admin_user,verified_at,date
sylius_admin_user,locked,num
sylius_admin_user,expires_at,date
sylius_admin_user,credentials_expire_at,date
sylius_admin_user,roles,string
sylius_admin_user,email,string
sylius_admin_user,email_canonical,string
sylius_admin_user,created_at,date
sylius_admin_user,updated_at,date
sylius_admin_user,first_name,string
sylius_admin_user,last_name,string
sylius_admin_user,locale_code,string
sylius_admin_user,encoder_name,string
sylius_avatar_image,id,num
sylius_avatar_image,owner_id,num
sylius_avatar_image,type,string
sylius_avatar_image,path,string
sylius_catalog_promotion,id,num
sylius_catalog_promotion,code,string
sylius_catalog_promotion,name,string
sylius_catalog_promotion,enabled,num
sylius_catalog_promotion,start_date,date
sylius_catalog_promotion,end_date,date
sylius_catalog_promotion,state,string
sylius_catalog_promotion,priority,num
sylius_catalog_promotion,exclusive,num
sylius_catalog_promotion_action,id,num
sylius_catalog_promotion_action,catalog_promotion_id,num
sylius_catalog_promotion_action,type,string
sylius_catalog_promotion_action,configuration,string
sylius_catalog_promotion_scope,id,num
sylius_catalog_promotion_scope,promotion_id,num
sylius_catalog_promotion_scope,type,string
sylius_catalog_promotion_scope,configuration,string
sylius_catalog_promotion_translation,id,num
sylius_catalog_promotion_translation,translatable_id,num
sylius_catalog_promotion_translation,label,string
sylius_catalog_promotion_translation,description,string
sylius_catalog_promotion_translation,locale,string
sylius_channel_price_history_config,id,num
sylius_channel_price_history_config,lowest_price_for_discounted_products_checking_period,num
sylius_channel_price_history_config,lowest_price_for_discounted_products_visible,num
sylius_country,id,num
sylius_country,code,string
sylius_country,enabled,num
sylius_currency,id,num
sylius_currency,code,string
sylius_currency,created_at,date
sylius_currency,updated_at,date
sylius_customer_group,id,num
sylius_customer_group,code,string
sylius_customer_group,name,string
sylius_customer,id,num
sylius_customer,customer_group_id,num
sylius_customer,default_address_id,num
sylius_customer,email,string
sylius_customer,email_canonical,string
sylius_customer,first_name,string
sylius_customer,last_name,string
sylius_customer,birthday,date
sylius_customer,gender,string
sylius_customer,created_at,date
sylius_customer,updated_at,date
sylius_customer,phone_number,string
sylius_customer,subscribed_to_newsletter,num
sylius_exchange_rate,id,num
sylius_exchange_rate,source_currency,num
sylius_exchange_rate,target_currency,num
sylius_exchange_rate,ratio,num
sylius_exchange_rate,created_at,date
sylius_exchange_rate,updated_at,date
sylius_gateway_config,id,num
sylius_gateway_config,config,string
sylius_gateway_config,gateway_name,string
sylius_gateway_config,factory_name,string
sylius_locale,id,num
sylius_locale,code,string
sylius_locale,created_at,date
sylius_locale,updated_at,date
sylius_migrations,version,string
sylius_migrations,executed_at,date
sylius_migrations,execution_time,num
sylius_order_sequence,id,num
sylius_order_sequence,idx,num
sylius_order_sequence,version,num
sylius_payment_method,id,num
sylius_payment_method,code,string
sylius_payment_method,environment,string
sylius_payment_method,is_enabled,num
sylius_payment_method,position,num
sylius_payment_method,created_at,date
sylius_payment_method,updated_at,date
sylius_payment_method,gateway_config_id,num
sylius_payment_method_translation,id,num
sylius_payment_method_translation,translatable_id,num
sylius_payment_method_translation,name,string
sylius_payment_method_translation,description,string
sylius_payment_method_translation,instructions,string
sylius_payment_method_translation,locale,string
sylius_payment_security_token,hash,string
sylius_payment_security_token,details,string
sylius_payment_security_token,after_url,string
sylius_payment_security_token,target_url,string
sylius_payment_security_token,gateway_name,string
sylius_paypal_plugin_pay_pal_credentials,id,string
sylius_paypal_plugin_pay_pal_credentials,payment_method_id,num
sylius_paypal_plugin_pay_pal_credentials,access_token,string
sylius_paypal_plugin_pay_pal_credentials,creation_time,date
sylius_paypal_plugin_pay_pal_credentials,expiration_time,date
sylius_product_association_type,id,num
sylius_product_association_type,code,string
sylius_product_association_type,created_at,date
sylius_product_association_type,updated_at,date
sylius_product_association_type_translation,id,num
sylius_product_association_type_translation,translatable_id,num
sylius_product_association_type_translation,name,string
sylius_product_association_type_translation,locale,string
sylius_product_attribute,id,num
sylius_product_attribute,code,string
sylius_product_attribute,type,string
sylius_product_attribute,storage_type,string
sylius_product_attribute,configuration,string
sylius_product_attribute,created_at,date
sylius_product_attribute,updated_at,date
sylius_product_attribute,position,num
sylius_product_attribute,translatable,num
sylius_product_attribute_translation,id,num
sylius_product_attribute_translation,translatable_id,num
sylius_product_attribute_translation,name,string
sylius_product_attribute_translation,locale,string
sylius_product_option,id,num
sylius_product_option,code,string
sylius_product_option,created_at,date
sylius_product_option,updated_at,date
sylius_product_option,position,num
sylius_product_option_translation,id,num
sylius_product_option_translation,translatable_id,num
sylius_product_option_translation,name,string
sylius_product_option_translation,locale,string
sylius_product_option_value,id,num
sylius_product_option_value,option_id,num
sylius_product_option_value,code,string
sylius_product_option_value_translation,id,num
sylius_product_option_value_translation,translatable_id,num
sylius_product_option_value_translation,value,string
sylius_product_option_value_translation,locale,string
sylius_promotion,id,num
sylius_promotion,code,string
sylius_promotion,name,string
sylius_promotion,description,string
sylius_promotion,priority,num
sylius_promotion,exclusive,num
sylius_promotion,usage_limit,num
sylius_promotion,used,num
sylius_promotion,coupon_based,num
sylius_promotion,starts_at,date
sylius_promotion,ends_at,date
sylius_promotion,created_at,date
sylius_promotion,updated_at,date
sylius_promotion,applies_to_discounted,num
sylius_promotion,archived_at,date
sylius_promotion_action,id,num
sylius_promotion_action,promotion_id,num
sylius_promotion_action,type,string
sylius_promotion_action,configuration,string
sylius_promotion_coupon,id,num
sylius_promotion_coupon,promotion_id,num
sylius_promotion_coupon,code,string
sylius_promotion_coupon,usage_limit,num
sylius_promotion_coupon,used,num
sylius_promotion_coupon,expires_at,date
sylius_promotion_coupon,created_at,date
sylius_promotion_coupon,updated_at,date
sylius_promotion_coupon,per_customer_usage_limit,num
sylius_promotion_coupon,reusable_from_cancelled_orders,num
sylius_promotion_rule,id,num
sylius_promotion_rule,promotion_id,num
sylius_promotion_rule,type,string
sylius_promotion_rule,configuration,string
sylius_promotion_translation,id,num
sylius_promotion_translation,translatable_id,num
sylius_promotion_translation,label,string
sylius_promotion_translation,locale,string
sylius_province,id,num
sylius_province,country_id,num
sylius_province,code,string
sylius_province,name,string
sylius_province,abbreviation,string
sylius_shipping_category,id,num
sylius_shipping_category,code,string
sylius_shipping_category,name,string
sylius_shipping_category,description,string
sylius_shipping_category,created_at,date
sylius_shipping_category,updated_at,date
sylius_shop_billing_data,id,num
sylius_shop_billing_data,company,string
sylius_shop_billing_data,tax_id,string
sylius_shop_billing_data,country_code,string
sylius_shop_billing_data,street,string
sylius_shop_billing_data,city,string
sylius_shop_billing_data,postcode,string
sylius_shop_user,id,num
sylius_shop_user,customer_id,num
sylius_shop_user,username,string
sylius_shop_user,username_canonical,string
sylius_shop_user,enabled,num
sylius_shop_user,salt,string
sylius_shop_user,password,string
sylius_shop_user,last_login,date
sylius_shop_user,password_reset_token,string
sylius_shop_user,password_requested_at,date
sylius_shop_user,email_verification_token,string
sylius_shop_user,verified_at,date
sylius_shop_user,locked,num
sylius_shop_user,expires_at,date
sylius_shop_user,credentials_expire_at,date
sylius_shop_user,roles,string
sylius_shop_user,email,string
sylius_shop_user,email_canonical,string
sylius_shop_user,created_at,date
sylius_shop_user,updated_at,date
sylius_shop_user,encoder_name,string
sylius_tax_category,id,num
sylius_tax_category,code,string
sylius_tax_category,name,string
sylius_tax_category,description,string
sylius_tax_category,created_at,date
sylius_tax_category,updated_at,date
sylius_taxon,id,num
sylius_taxon,tree_root,num
sylius_taxon,parent_id,num
sylius_taxon,code,string
sylius_taxon,tree_left,num
sylius_taxon,tree_right,num
sylius_taxon,tree_level,num
sylius_taxon,position,num
sylius_taxon,created_at,date
sylius_taxon,updated_at,date
sylius_taxon,enabled,num
sylius_channel_price_history_config_excluded_taxons,channel_id,num
sylius_channel_price_history_config_excluded_taxons,taxon_id,num
sylius_product,id,num
sylius_product,main_taxon_id,num
sylius_product,code,string
sylius_product,created_at,date
sylius_product,updated_at,date
sylius_product,enabled,num
sylius_product,variant_selection_method,string
sylius_product,average_rating,num
sylius_product_association,id,num
sylius_product_association,association_type_id,num
sylius_product_association,product_id,num
sylius_product_association,created_at,date
sylius_product_association,updated_at,date
sylius_product_association_product,association_id,num
sylius_product_association_product,product_id,num
sylius_product_attribute_value,id,num
sylius_product_attribute_value,product_id,num
sylius_product_attribute_value,attribute_id,num
sylius_product_attribute_value,text_value,string
sylius_product_attribute_value,boolean_value,num
sylius_product_attribute_value,integer_value,num
sylius_product_attribute_value,float_value,num
sylius_product_attribute_value,datetime_value,date
sylius_product_attribute_value,date_value,date
sylius_product_attribute_value,json_value,string
sylius_product_attribute_value,locale_code,string
sylius_product_image,id,num
sylius_product_image,owner_id,num
sylius_product_image,type,string
sylius_product_image,path,string
sylius_product_options,product_id,num
sylius_product_options,option_id,num
sylius_product_review,id,num
sylius_product_review,product_id,num
sylius_product_review,author_id,num
sylius_product_review,title,string
sylius_product_review,rating,num
sylius_product_review,comment,string
sylius_product_review,status,string
sylius_product_review,created_at,date
sylius_product_review,updated_at,date
sylius_product_taxon,id,num
sylius_product_taxon,product_id,num
sylius_product_taxon,taxon_id,num
sylius_product_taxon,position,num
sylius_product_translation,id,num
sylius_product_translation,translatable_id,num
sylius_product_translation,name,string
sylius_product_translation,slug,string
sylius_product_translation,description,string
sylius_product_translation,meta_keywords,string
sylius_product_translation,meta_description,string
sylius_product_translation,short_description,string
sylius_product_translation,locale,string
sylius_product_variant,id,num
sylius_product_variant,product_id,num
sylius_product_variant,tax_category_id,num
sylius_product_variant,shipping_category_id,num
sylius_product_variant,code,string
sylius_product_variant,created_at,date
sylius_product_variant,updated_at,date
sylius_product_variant,on_hold,num
sylius_product_variant,on_hand,num
sylius_product_variant,tracked,num
sylius_product_variant,width,num
sylius_product_variant,height,num
sylius_product_variant,depth,num
sylius_product_variant,weight,num
sylius_product_variant,position,num
sylius_product_variant,shipping_required,num
