table_name,column_name,column_type
all_prevalences,ITEM,string
all_prevalences,OCCURRENCES,num
all_prevalences,POPULATION COUNT,num
all_prevalences,POPULATION TYPE,string
all_prevalences,PREVALENCE PERCENTAGE,num
all_prevalences,PREVALENCE RATE,num
allergies,CODE,num
allergies,DESCRIPTION,string
allergies,ENCOUNTER,num
allergies,PATIENT,num
allergies,START,string
allergies,STOP,string
careplans,CODE,num
careplans,DESCRIPTION,string
careplans,ENCOUNTER,num
careplans,ID,num
careplans,PATIENT,num
careplans,REASONCODE,num
careplans,REASONDESCRIPTION,string
careplans,START,date
careplans,STOP,date
claims,BILLABLEPERIOD,date
claims,DIAGNOSIS,string
claims,ENCOUNTER,string
claims,ID,num
claims,ORGANIZATION,string
claims,PATIENT,string
claims,TOTAL,num
conditions,CODE,num
conditions,DESCRIPTION,string
conditions,ENCOUNTER,num
conditions,PATIENT,num
conditions,START,date
conditions,STOP,date
encounters,CODE,num
encounters,DATE,date
encounters,DESCRIPTION,string
encounters,ID,num
encounters,PATIENT,string
encounters,REASONCODE,num
encounters,REASONDESCRIPTION,string
immunizations,CODE,num
immunizations,DATE,date
immunizations,DESCRIPTION,string
immunizations,ENCOUNTER,num
immunizations,PATIENT,num
medications,CODE,num
medications,DESCRIPTION,string
medications,ENCOUNTER,num
medications,PATIENT,string
medications,REASONCODE,num
medications,REASONDESCRIPTION,string
medications,START,date
medications,STOP,date
observations,CODE,string
observations,DATE,date
observations,DESCRIPTION,string
observations,ENCOUNTER,num
observations,PATIENT,num
observations,UNITS,string
observations,VALUE,string
patients,address,string
patients,birthdate,date
patients,birthplace,string
patients,deathdate,date
patients,drivers,string
patients,ethnicity,string
patients,first,string
patients,gender,string
patients,last,string
patients,maiden,string
patients,marital,string
patients,passport,num
patients,patient,num
patients,prefix,string
patients,race,string
patients,ssn,string
patients,suffix,string
procedures,CODE,num
procedures,DATE,date
procedures,DESCRIPTION,string
procedures,ENCOUNTER,num
procedures,PATIENT,num
procedures,REASONCODE,num
procedures,REASONDESCRIPTION,string
