table_name,column_name,column_type
app_all,app_id,num
app_events,app_id,num
app_events,event_id,num
app_events,is_active,boolean
app_events,is_installed,boolean
app_events_relevant,app_id,num
app_events_relevant,event_id,num
app_events_relevant,is_active,boolean
app_events_relevant,is_installed,boolean
app_labels,app_id,num
app_labels,label_id,num
events,device_id,num
events,event_id,num
events,latitude,num
events,longitude,num
events,timestamp,date
events_relevant,device_id,num
events_relevant,event_id,num
events_relevant,latitude,num
events_relevant,longitude,num
gender_age,age,num
gender_age,device_id,num
gender_age,gender,boolean
gender_age,group,string
gender_age_test,device_id,num
gender_age_train,age,string
gender_age_train,device_id,num
gender_age_train,gender,string
gender_age_train,group,string
label_categories,category,string
label_categories,label_id,num
phone_brand_device_model2,device_id,num
phone_brand_device_model2,device_model,string
phone_brand_device_model2,phone_brand,string
sample_submission,F23-,num
sample_submission,F24-26,num
sample_submission,F27-28,num
sample_submission,F29-32,num
sample_submission,F33-42,num
sample_submission,F43+,num
sample_submission,M22-,num
sample_submission,M23-26,num
sample_submission,M27-28,num
sample_submission,M29-31,num
sample_submission,M32-38,num
sample_submission,M39+,num
sample_submission,device_id,num
