table_name,column_name,column_type
appointments,id,num
appointments,issuer_id,num
appointments,contact_id,num
appointments,business_id,num
appointments,hash,string
appointments,status,string
appointments,start_at,date
appointments,finish_at,date
appointments,duration,num
appointments,service_id,num
appointments,comments,string
appointments,created_at,date
appointments,updated_at,date
appointments,deleted_at,date
appointments,vacancy_id,num
appointments,humanresource_id,num
business_contact,business_id,num
business_contact,contact_id,num
business_contact,notes,string
business_contact,created_at,date
business_contact,updated_at,date
business_user,business_id,num
business_user,user_id,num
business_user,created_at,date
business_user,updated_at,date
businesses,id,num
businesses,category_id,num
businesses,domain_id,num
businesses,slug,string
businesses,name,string
businesses,description,string
businesses,postal_address,string
businesses,phone,string
businesses,social_facebook,string
businesses,timezone,string
businesses,strategy,string
businesses,plan,string
businesses,deleted_at,date
businesses,created_at,date
businesses,updated_at,date
businesses,country_code,string
businesses,locale,string
businesses,listed,num
categories,id,num
categories,slug,string
categories,name,string
categories,description,string
categories,strategy,string
categories,deleted_at,date
categories,created_at,date
categories,updated_at,date
contacts,id,num
contacts,user_id,num
contacts,nin,string
contacts,gender,string
contacts,firstname,string
contacts,lastname,string
contacts,occupation,string
contacts,martial_status,string
contacts,postal_address,string
contacts,birthdate,date
contacts,mobile,string
contacts,mobile_country,string
contacts,email,string
contacts,created_at,date
contacts,updated_at,date
contacts,deleted_at,date
countries,id,num
countries,capital,string
countries,citizenship,string
countries,country_code,string
countries,currency,string
countries,currency_code,string
countries,currency_sub_unit,string
countries,currency_symbol,string
countries,full_name,string
countries,iso_3166_2,string
countries,iso_3166_3,string
countries,name,string
countries,region_code,string
countries,sub_region_code,string
countries,eea,num
countries,calling_code,string
countries,flag,string
domains,id,num
domains,slug,string
domains,owner_id,num
domains,created_at,date
domains,updated_at,date
domains,deleted_at,date
humanresources,id,num
humanresources,name,string
humanresources,slug,string
humanresources,capacity,num
humanresources,business_id,num
humanresources,contact_id,num
humanresources,created_at,date
humanresources,updated_at,date
humanresources,deleted_at,date
humanresources,calendar_link,string
migrations,id,num
migrations,migration,string
migrations,batch,num
notification_categories,id,num
notification_categories,name,string
notification_categories,text,string
notification_groups,id,num
notification_groups,name,string
notifications,id,num
notifications,from_id,num
notifications,from_type,string
notifications,to_id,num
notifications,to_type,string
notifications,category_id,num
notifications,url,string
notifications,extra,string
notifications,read,num
notifications,created_at,date
notifications,updated_at,date
notifications,expire_time,date
notifications_categories_in_groups,id,num
notifications_categories_in_groups,category_id,num
notifications_categories_in_groups,group_id,num
password_resets,email,string
password_resets,token,string
password_resets,created_at,date
permission_role,permission_id,num
permission_role,role_id,num
permission_role,created_at,date
permission_role,updated_at,date
permission_user,permission_id,num
permission_user,user_id,num
permission_user,created_at,date
permission_user,updated_at,date
permissions,id,num
permissions,inherit_id,num
permissions,name,string
permissions,slug,string
permissions,description,string
permissions,created_at,date
permissions,updated_at,date
preferences,id,num
preferences,value,string
preferences,type,string
preferences,preferenceable_type,string
preferences,preferenceable_id,num
preferences,created_at,date
preferences,updated_at,date
role_user,role_id,num
role_user,user_id,num
role_user,created_at,date
role_user,updated_at,date
roles,id,num
roles,name,string
roles,slug,string
roles,description,string
roles,created_at,date
roles,updated_at,date
service_types,id,num
service_types,business_id,num
service_types,slug,string
service_types,name,string
service_types,description,string
service_types,created_at,date
service_types,updated_at,date
service_types,deleted_at,date
services,id,num
services,type_id,num
services,business_id,num
services,slug,string
services,name,string
services,duration,num
services,description,string
services,prerequisites,string
services,color,string
services,deleted_at,date
services,created_at,date
services,updated_at,date
users,id,num
users,username,string
users,name,string
users,email,string
users,password,string
users,remember_token,string
users,created_at,date
users,updated_at,date
users,last_login_at,date
users,last_ip,string
vacancies,id,num
vacancies,date,date
vacancies,start_at,date
vacancies,finish_at,date
vacancies,business_id,num
vacancies,service_id,num
vacancies,capacity,num
vacancies,created_at,date
vacancies,updated_at,date
vacancies,humanresource_id,num
