table_name,column_name,column_type
Document_Types,document_type_code,string
Document_Types,document_description,string
Documents,document_id,num
Documents,document_type_code,string
Documents,grant_id,num
Documents,sent_date,date
Documents,response_received_date,date
Documents,other_details,string
Grants,grant_id,num
Grants,organisation_id,num
Grants,grant_amount,others
Grants,grant_start_date,date
Grants,grant_end_date,date
Grants,other_details,string
Organisation_Types,organisation_type,string
Organisation_Types,organisation_type_description,string
Organisations,organisation_id,num
Organisations,organisation_type,string
Organisations,organisation_details,string
Project_Outcomes,project_id,num
Project_Outcomes,outcome_code,string
Project_Outcomes,outcome_details,string
Project_Staff,staff_id,num
Project_Staff,project_id,num
Project_Staff,role_code,string
Project_Staff,date_from,date
Project_Staff,date_to,date
Project_Staff,other_details,string
Projects,project_id,num
Projects,organisation_id,num
Projects,project_details,string
Research_Outcomes,outcome_code,string
Research_Outcomes,outcome_description,string
Research_Staff,staff_id,num
Research_Staff,employer_organisation_id,num
Research_Staff,staff_details,string
Staff_Roles,role_code,string
Staff_Roles,role_description,string
Tasks,task_id,num
Tasks,project_id,num
Tasks,task_details,string
Tasks,eg Agree Objectives,string
