table_name,column_name,column_type
Customers,customer_id,num
Customers,customer_name,string
Customers,customer_details,string
Invoices,invoice_number,num
Invoices,invoice_date,date
Invoices,invoice_details,string
Order_Items,order_item_id,num
Order_Items,product_id,num
Order_Items,order_id,num
Order_Items,order_item_status,string
Order_Items,order_item_details,string
Orders,order_id,num
Orders,customer_id,num
Orders,order_status,string
Orders,date_order_placed,date
Orders,order_details,string
Products,product_id,num
Products,product_name,string
Products,product_details,string
Shipment_Items,shipment_id,num
Shipment_Items,order_item_id,num
Shipments,shipment_id,num
Shipments,order_id,num
Shipments,invoice_number,num
Shipments,shipment_tracking_number,string
Shipments,shipment_date,date
Shipments,other_shipment_details,string
