table_name,column_name,column_type
Investors,investor_id,num
Investors,Investor_details,string
Lots,lot_id,num
Lots,investor_id,num
Lots,lot_details,string
Purchases,purchase_transaction_id,num
Purchases,purchase_details,string
Ref_Transaction_Types,transaction_type_code,string
Ref_Transaction_Types,transaction_type_description,string
Sales,sales_transaction_id,num
Sales,sales_details,string
Transactions,transaction_id,num
Transactions,investor_id,num
Transactions,transaction_type_code,string
Transactions,date_of_transaction,date
Transactions,amount_of_transaction,others
Transactions,share_count,string
Transactions,other_details,string
Transactions_Lots,transaction_id,num
Transactions_Lots,lot_id,num
