table_name,column_name,column_type
Problem_Category_Codes,problem_category_code,string
Problem_Category_Codes,problem_category_description,string
Problem_Log,problem_log_id,num
Problem_Log,assigned_to_staff_id,num
Problem_Log,problem_id,num
Problem_Log,problem_category_code,string
Problem_Log,problem_status_code,string
Problem_Log,log_entry_date,date
Problem_Log,log_entry_description,string
Problem_Log,log_entry_fix,string
Problem_Log,other_log_details,string
Problem_Status_Codes,problem_status_code,string
Problem_Status_Codes,problem_status_description,string
Problems,problem_id,num
Problems,product_id,num
Problems,closure_authorised_by_staff_id,num
Problems,reported_by_staff_id,num
Problems,date_problem_reported,date
Problems,date_problem_closed,date
Problems,problem_description,string
Problems,other_problem_details,string
Product,product_id,num
Product,product_name,string
Product,product_details,string
Staff,staff_id,num
Staff,staff_first_name,string
Staff,staff_last_name,string
Staff,other_staff_details,string
