table_name,column_name,column_type
city_channel,ID,num
city_channel,City,string
city_channel,Station_name,string
city_channel,Owned_Since,num
city_channel,Affiliation,string
city_channel_radio,City_channel_ID,num
city_channel_radio,Radio_ID,num
city_channel_radio,Is_online,boolean
city_channel_tv_show,City_channel_ID,num
city_channel_tv_show,tv_show_ID,num
city_channel_tv_show,Is_online,boolean
city_channel_tv_show,Is_free,boolean
radio,Radio_ID,num
radio,Transmitter,string
radio,Radio_MHz,string
radio,2FM_MHz,string
radio,RnaG_MHz,string
radio,Lyric_FM_MHz,string
radio,ERP_kW,string
tv_show,tv_show_ID,num
tv_show,tv_show_name,string
tv_show,Sub_tittle,string
tv_show,Next_show_name,string
tv_show,Original_Airdate,string
