table_name,column_name,column_type
Cartoon,id,num
Cartoon,Title,string
Cartoon,Directed_by,string
Cartoon,Written_by,string
Cartoon,Original_air_date,string
Cartoon,Production_code,num
Cartoon,Channel,string
TV_Channel,id,string
TV_Channel,series_name,string
TV_Channel,Country,string
TV_Channel,Language,string
TV_Channel,Content,string
TV_Channel,Pixel_aspect_ratio_PAR,string
TV_Channel,Hight_definition_TV,string
TV_Channel,Pay_per_view_PPV,string
TV_Channel,Package_Option,string
TV_series,id,num
TV_series,Episode,string
TV_series,Air_Date,string
TV_series,Rating,string
TV_series,Share,num
TV_series,18_49_Rating_Share,string
TV_series,Viewers_m,string
TV_series,Weekly_Rank,num
TV_series,Channel,string
