table_name,column_name,column_type
auth_user,id,num
auth_user,password,string
auth_user,last_login,date
auth_user,is_superuser,num
auth_user,username,string
auth_user,first_name,string
auth_user,last_name,string
auth_user,email,string
auth_user,is_staff,num
auth_user,is_active,num
auth_user,date_joined,date
two_factor_phonedevice,id,num
two_factor_phonedevice,name,string
two_factor_phonedevice,confirmed,num
two_factor_phonedevice,number,string
two_factor_phonedevice,method,string
two_factor_phonedevice,user_id,num
