table_name,column_name,column_type
country,country_name,string
country,id,num
ranking_criteria,criteria_name,string
ranking_criteria,id,num
ranking_criteria,ranking_system_id,num
ranking_system,id,num
ranking_system,system_name,string
university,id,num
university,university_name,string
university_ranking_year,ranking_criteria_id,num
university_ranking_year,score,num
university_ranking_year,university_id,num
university_ranking_year,year,num
university_year,num_students,num
university_year,pct_female_students,num
university_year,pct_international_students,num
university_year,student_staff_ratio,num
university_year,university_id,num
university_year,year,num
