table_name,column_name,column_type
major,Major_ID,num
major,Major_Name,string
major,Major_Code,num
major_ranking,Rank,num
major_ranking,University_ID,num
major_ranking,Major_ID,num
overall_ranking,Rank,num
overall_ranking,University_ID,num
overall_ranking,Reputation_point,num
overall_ranking,Research_point,num
overall_ranking,Citation_point,num
overall_ranking,Total,num
university,University_ID,num
university,University_Name,string
university,City,string
university,State,string
university,Team_Name,string
university,Affiliation,string
university,Enrollment,num
university,Home_Conference,string
