table_name,column_name,column_type
auth_user,id,num
auth_user,password,string
auth_user,last_login,date
auth_user,is_superuser,num
auth_user,username,string
auth_user,first_name,string
auth_user,last_name,string
auth_user,email,string
auth_user,is_staff,num
auth_user,is_active,num
auth_user,date_joined,date
user_sessions_session,session_key,string
user_sessions_session,session_data,string
user_sessions_session,expire_date,date
user_sessions_session,user_agent,string
user_sessions_session,last_activity,date
user_sessions_session,ip,string
user_sessions_session,user_id,num
