table_name,column_name,column_type
Customers,id,num
Customers,name,string
Customers,age,num
Customers,membership_credit,num
Discount,id,num
Discount,name,string
Discount,membership_credit,num
Renting_history,id,num
Renting_history,customer_id,num
Renting_history,discount_id,num
Renting_history,vehicles_id,num
Renting_history,total_hours,num
Vehicles,id,num
Vehicles,name,string
Vehicles,Model_year,num
Vehicles,Type_of_powertrain,string
Vehicles,Combined_fuel_economy_rate,num
Vehicles,City_fuel_economy_rate,num
Vehicles,Highway_fuel_economy_rate,num
Vehicles,Cost_per_25_miles,num
Vehicles,Annual_fuel_cost,num
Vehicles,Notes,string
