table_name,column_name,column_type
game,Game_ID,num
game,Title,string
game,Release_Date,string
game,Franchise,string
game,Developers,string
game,Platform_ID,num
game,Units_sold_Millions,num
game_player,Player_ID,num
game_player,Game_ID,num
game_player,If_active,boolean
platform,Platform_ID,num
platform,Platform_name,string
platform,Market_district,string
platform,Download_rank,num
player,Player_ID,num
player,Rank_of_the_year,num
player,Player_name,string
player,Position,string
player,College,string
