table_name,column_name,column_type
game,game_name,string
game,genre_id,num
game,id,num
game_platform,game_publisher_id,num
game_platform,id,num
game_platform,platform_id,num
game_platform,release_year,string
game_publisher,game_id,num
game_publisher,id,num
game_publisher,publisher_id,num
genre,genre_name,string
genre,id,num
platform,id,num
platform,platform_name,string
publisher,id,num
publisher,publisher_name,string
region,id,num
region,region_name,string
region_sales,game_platform_id,num
region_sales,num_sales,num
region_sales,region_id,num
