table_name,column_name,column_type
Student,StuID,num
Student,LName,string
Student,Fname,string
Student,Age,num
Student,Sex,string
Student,Major,num
Student,Advisor,num
Student,city_code,string
Voting_record,StuID,num
Voting_record,Registration_Date,string
Voting_record,Election_Cycle,string
Voting_record,President_Vote,num
Voting_record,Vice_President_Vote,num
Voting_record,Secretary_Vote,num
Voting_record,Treasurer_Vote,num
Voting_record,Class_President_Vote,num
Voting_record,Class_Senator_Vote,num
