table_name,column_name,column_type
users,id,num
users,avatar,string
users,role_id,num
users,settings,string
data_types,id,num
data_types,name,string
data_types,slug,string
data_types,display_name_singular,string
data_types,display_name_plural,string
data_types,icon,string
data_types,model_name,string
data_types,policy_name,string
data_types,controller,string
data_types,description,string
data_types,generate_permissions,boolean
data_types,server_side,num
data_types,details,string
data_types,created_at,date
data_types,updated_at,date
menus,id,num
menus,name,string
menus,created_at,date
menus,updated_at,date
menu_items,id,num
menu_items,menu_id,num
menu_items,title,string
menu_items,url,string
menu_items,target,string
menu_items,icon_class,string
menu_items,color,string
menu_items,parent_id,num
menu_items,order,num
menu_items,created_at,date
menu_items,updated_at,date
menu_items,route,string
menu_items,parameters,string
roles,id,num
roles,name,string
roles,display_name,string
roles,created_at,date
roles,updated_at,date
settings,id,num
settings,display_name,string
settings,value,string
settings,details,string
settings,type,string
settings,order,num
settings,group,num
permissions,id,num
permissions,table_name,string
permissions,created_at,date
permissions,updated_at,date
permission_role,permission_id,num
permission_role,role_id,num
translations,id,num
translations,table_name,string
translations,column_name,string
translations,foreign_key,num
translations,locale,string
translations,value,string
translations,created_at,date
translations,updated_at,date
data_rows,id,num
data_rows,data_type_id,num
data_rows,field,string
data_rows,type,string
data_rows,display_name,string
data_rows,required,boolean
data_rows,browse,boolean
data_rows,read,boolean
data_rows,edit,boolean
data_rows,add,boolean
data_rows,delete,boolean
data_rows,details,string
data_rows,order,num
user_roles,user_id,num
user_roles,role_id,num
