table_name,column_name,column_type
auth_group,id,num
auth_group,name,string
auth_group_permissions,id,num
auth_group_permissions,group_id,num
auth_group_permissions,permission_id,num
auth_permission,id,num
auth_permission,name,string
auth_permission,content_type_id,num
auth_permission,codename,string
auth_user,id,num
auth_user,password,string
auth_user,last_login,date
auth_user,is_superuser,num
auth_user,username,string
auth_user,first_name,string
auth_user,last_name,string
auth_user,email,string
auth_user,is_staff,num
auth_user,is_active,num
auth_user,date_joined,date
auth_user_groups,id,num
auth_user_groups,user_id,num
auth_user_groups,group_id,num
auth_user_user_permissions,id,num
auth_user_user_permissions,user_id,num
auth_user_user_permissions,permission_id,num
django_admin_log,id,num
django_admin_log,action_time,date
django_admin_log,object_id,string
django_admin_log,object_repr,string
django_admin_log,action_flag,num
django_admin_log,change_message,string
django_admin_log,content_type_id,num
django_admin_log,user_id,num
django_content_type,id,num
django_content_type,app_label,string
django_content_type,model,string
django_migrations,id,num
django_migrations,app,string
django_migrations,name,string
django_migrations,applied,date
django_session,session_key,string
django_session,session_data,string
django_session,expire_date,date
home_homepage,page_ptr_id,num
taggit_tag,id,num
taggit_tag,name,string
taggit_tag,slug,string
taggit_taggeditem,id,num
taggit_taggeditem,object_id,num
taggit_taggeditem,content_type_id,num
taggit_taggeditem,tag_id,num
wagtailcore_collection,id,num
wagtailcore_collection,path,string
wagtailcore_collection,depth,num
wagtailcore_collection,numchild,num
wagtailcore_collection,name,string
wagtailcore_collectionviewrestriction,id,num
wagtailcore_collectionviewrestriction,restriction_type,string
wagtailcore_collectionviewrestriction,password,string
wagtailcore_collectionviewrestriction,collection_id,num
wagtailcore_collectionviewrestriction_groups,id,num
wagtailcore_collectionviewrestriction_groups,collectionviewrestriction_id,num
wagtailcore_collectionviewrestriction_groups,group_id,num
wagtailcore_groupcollectionpermission,id,num
wagtailcore_groupcollectionpermission,collection_id,num
wagtailcore_groupcollectionpermission,group_id,num
wagtailcore_groupcollectionpermission,permission_id,num
wagtailcore_grouppagepermission,id,num
wagtailcore_grouppagepermission,permission_type,string
wagtailcore_grouppagepermission,group_id,num
wagtailcore_grouppagepermission,page_id,num
wagtailcore_page,id,num
wagtailcore_page,path,string
wagtailcore_page,depth,num
wagtailcore_page,numchild,num
wagtailcore_page,title,string
wagtailcore_page,slug,string
wagtailcore_page,live,num
wagtailcore_page,has_unpublished_changes,num
wagtailcore_page,url_path,string
wagtailcore_page,seo_title,string
wagtailcore_page,show_in_menus,num
wagtailcore_page,search_description,string
wagtailcore_page,go_live_at,date
wagtailcore_page,expire_at,date
wagtailcore_page,expired,num
wagtailcore_page,content_type_id,num
wagtailcore_page,owner_id,num
wagtailcore_page,locked,num
wagtailcore_page,latest_revision_created_at,date
wagtailcore_page,first_published_at,date
wagtailcore_page,live_revision_id,num
wagtailcore_page,last_published_at,date
wagtailcore_page,draft_title,string
wagtailcore_page,locked_at,date
wagtailcore_page,locked_by_id,num
wagtailcore_pagerevision,id,num
wagtailcore_pagerevision,submitted_for_moderation,num
wagtailcore_pagerevision,created_at,date
wagtailcore_pagerevision,content_json,string
wagtailcore_pagerevision,approved_go_live_at,date
wagtailcore_pagerevision,page_id,num
wagtailcore_pagerevision,user_id,num
wagtailcore_pageviewrestriction,id,num
wagtailcore_pageviewrestriction,password,string
wagtailcore_pageviewrestriction,page_id,num
wagtailcore_pageviewrestriction,restriction_type,string
wagtailcore_pageviewrestriction_groups,id,num
wagtailcore_pageviewrestriction_groups,pageviewrestriction_id,num
wagtailcore_pageviewrestriction_groups,group_id,num
wagtailcore_site,id,num
wagtailcore_site,hostname,string
wagtailcore_site,port,num
wagtailcore_site,is_default_site,num
wagtailcore_site,root_page_id,num
wagtailcore_site,site_name,string
wagtaildocs_document,id,num
wagtaildocs_document,title,string
wagtaildocs_document,file,string
wagtaildocs_document,created_at,date
wagtaildocs_document,uploaded_by_user_id,num
wagtaildocs_document,collection_id,num
wagtaildocs_document,file_size,num
wagtaildocs_document,file_hash,string
wagtailembeds_embed,id,num
wagtailembeds_embed,url,string
wagtailembeds_embed,max_width,num
wagtailembeds_embed,type,string
wagtailembeds_embed,html,string
wagtailembeds_embed,title,string
wagtailembeds_embed,author_name,string
wagtailembeds_embed,provider_name,string
wagtailembeds_embed,thumbnail_url,string
wagtailembeds_embed,width,num
wagtailembeds_embed,height,num
wagtailembeds_embed,last_updated,date
wagtailforms_formsubmission,id,num
wagtailforms_formsubmission,form_data,string
wagtailforms_formsubmission,submit_time,date
wagtailforms_formsubmission,page_id,num
wagtailimages_image,id,num
wagtailimages_image,title,string
wagtailimages_image,file,string
wagtailimages_image,width,num
wagtailimages_image,height,num
wagtailimages_image,created_at,date
wagtailimages_image,focal_point_x,num
wagtailimages_image,focal_point_y,num
wagtailimages_image,focal_point_width,num
wagtailimages_image,focal_point_height,num
wagtailimages_image,uploaded_by_user_id,num
wagtailimages_image,file_size,num
wagtailimages_image,collection_id,num
wagtailimages_image,file_hash,string
wagtailimages_rendition,id,num
wagtailimages_rendition,file,string
wagtailimages_rendition,width,num
wagtailimages_rendition,height,num
wagtailimages_rendition,focal_point_key,string
wagtailimages_rendition,filter_spec,string
wagtailimages_rendition,image_id,num
wagtailredirects_redirect,id,num
