table_name,column_name,column_type
wp_termmeta,meta_id,num
wp_termmeta,term_id,num
wp_termmeta,meta_key,string
wp_termmeta,meta_value,string
wp_terms,term_id,num
wp_terms,name,string
wp_terms,slug,string
wp_terms,term_group,num
wp_term_taxonomy,term_taxonomy_id,num
wp_term_taxonomy,term_id,num
wp_term_taxonomy,taxonomy,string
wp_term_taxonomy,description,string
wp_term_taxonomy,parent,num
wp_term_taxonomy,count,num
wp_term_relationships,object_id,num
wp_term_relationships,term_taxonomy_id,num
wp_term_relationships,term_order,num
wp_commentmeta,meta_id,num
wp_commentmeta,comment_id,num
wp_commentmeta,meta_key,string
wp_commentmeta,meta_value,string
wp_comments,comment_ID,num
wp_comments,comment_post_ID,num
wp_comments,comment_author,string
wp_comments,comment_author_email,string
wp_comments,comment_author_url,string
wp_comments,comment_author_IP,string
wp_comments,comment_date,date
wp_comments,comment_date_gmt,date
wp_comments,comment_content,string
wp_comments,comment_karma,num
wp_comments,comment_approved,string
wp_comments,comment_agent,string
wp_comments,comment_type,string
wp_comments,comment_parent,num
wp_comments,user_id,num
wp_links,link_id,num
wp_links,link_url,string
wp_links,link_name,string
wp_links,link_image,string
wp_links,link_target,string
wp_links,link_description,string
wp_links,link_visible,string
wp_links,link_owner,num
wp_links,link_rating,num
wp_links,link_updated,date
wp_links,link_rel,string
wp_links,link_notes,string
wp_links,link_rss,string
wp_options,option_id,num
wp_options,option_name,string
wp_options,option_value,string
wp_options,autoload,string
wp_postmeta,meta_id,num
wp_postmeta,post_id,num
wp_postmeta,meta_key,string
wp_postmeta,meta_value,string
wp_posts,ID,num
wp_posts,post_author,num
wp_posts,post_date,date
wp_posts,post_date_gmt,date
wp_posts,post_content,string
wp_posts,post_title,string
wp_posts,post_excerpt,string
wp_posts,post_status,string
wp_posts,comment_status,string
wp_posts,ping_status,string
wp_posts,post_password,string
wp_posts,post_name,string
wp_posts,to_ping,string
wp_posts,pinged,string
wp_posts,post_modified,date
wp_posts,post_modified_gmt,date
wp_posts,post_content_filtered,string
wp_posts,post_parent,num
wp_posts,guid,string
wp_posts,menu_order,num
wp_posts,post_type,string
wp_posts,post_mime_type,string
wp_posts,comment_count,num
wp_users,ID,num
wp_users,user_login,string
wp_users,user_pass,string
wp_users,user_nicename,string
wp_users,user_email,string
wp_users,user_url,string
wp_users,user_registered,date
wp_users,user_activation_key,string
wp_users,user_status,num
wp_users,display_name,string
wp_usermeta,umeta_id,num
wp_usermeta,user_id,num
wp_usermeta,meta_key,string
wp_usermeta,meta_value,string
wp_registration_log,ID,num
wp_registration_log,email,string
wp_registration_log,IP,string
wp_registration_log,blog_id,num
wp_registration_log,date_registered,date
wp_site,id,num
wp_site,domain,string
wp_site,path,string
wp_sitemeta,meta_id,num
wp_sitemeta,site_id,num
wp_sitemeta,meta_key,string
wp_sitemeta,meta_value,string
wp_signups,signup_id,num
wp_signups,domain,string
wp_signups,path,string
wp_signups,title,string
wp_signups,user_login,string
wp_signups,user_email,string
wp_signups,registered,date
wp_signups,activated,date
wp_signups,active,num
wp_signups,activation_key,string
wp_signups,meta,string
