table_name,column_name,column_type
Address,AddressID,num
Address,AddressLine1,string
Address,AddressLine2,string
Address,City,string
Address,ModifiedDate,date
Address,PostalCode,string
Address,SpatialLocation,string
Address,StateProvinceID,string
Address,rowguid,string
AddressType,AddressTypeID,num
AddressType,ModifiedDate,date
AddressType,Name,string
AddressType,rowguid,string
BillOfMaterials,BOMLevel,num
BillOfMaterials,BillOfMaterialsID,num
BillOfMaterials,ComponentID,num
BillOfMaterials,EndDate,date
BillOfMaterials,ModifiedDate,date
BillOfMaterials,PerAssemblyQty,num
BillOfMaterials,ProductAssemblyID,num
BillOfMaterials,StartDate,date
BillOfMaterials,UnitMeasureCode,string
BusinessEntity,BusinessEntityID,num
BusinessEntity,ModifiedDate,date
BusinessEntity,rowguid,string
BusinessEntityAddress,AddressID,num
BusinessEntityAddress,AddressTypeID,num
BusinessEntityAddress,BusinessEntityID,num
BusinessEntityAddress,ModifiedDate,date
BusinessEntityAddress,rowguid,string
BusinessEntityContact,BusinessEntityID,num
BusinessEntityContact,ContactTypeID,num
BusinessEntityContact,ModifiedDate,date
BusinessEntityContact,PersonID,num
BusinessEntityContact,rowguid,string
ContactType,ContactTypeID,num
ContactType,ModifiedDate,date
ContactType,Name,string
CountryRegion,CountryRegionCode,string
CountryRegion,ModifiedDate,date
CountryRegion,Name,string
CountryRegionCurrency,CountryRegionCode,string
CountryRegionCurrency,CurrencyCode,string
CountryRegionCurrency,ModifiedDate,date
CreditCard,CardNumber,string
CreditCard,CardType,string
CreditCard,CreditCardID,num
CreditCard,ExpMonth,num
CreditCard,ExpYear,num
CreditCard,ModifiedDate,date
Culture,CultureID,string
Culture,ModifiedDate,date
Culture,Name,string
Currency,CurrencyCode,string
Currency,ModifiedDate,date
Currency,Name,string
CurrencyRate,AverageRate,num
CurrencyRate,CurrencyRateDate,date
CurrencyRate,CurrencyRateID,num
CurrencyRate,EndOfDayRate,num
CurrencyRate,FromCurrencyCode,string
CurrencyRate,ModifiedDate,date
CurrencyRate,ToCurrencyCode,string
Customer,AccountNumber,num
Customer,CustomerID,num
Customer,ModifiedDate,date
Customer,PersonID,num
Customer,StoreID,num
Customer,TerritoryID,num
Customer,rowguid,date
Department,DepartmentID,num
Department,GroupName,string
Department,ModifiedDate,date
Department,Name,string
Document,ChangeNumber,num
Document,Document,binary
Document,DocumentLevel,num
Document,DocumentNode,string
Document,DocumentSummary,string
Document,FileExtension,string
Document,FileName,string
Document,FolderFlag,boolean
Document,ModifiedDate,date
Document,Owner,num
Document,Revision,string
Document,Status,num
Document,Title,string
Document,rowguid,string
EmailAddress,BusinessEntityID,num
EmailAddress,EmailAddress,string
EmailAddress,EmailAddressID,num
EmailAddress,ModifiedDate,date
EmailAddress,rowguid,string
Employee,BirthDate,date
Employee,BusinessEntityID,num
Employee,CurrentFlag,boolean
Employee,Gender,boolean
Employee,HireDate,date
Employee,JobTitle,string
Employee,LoginID,string
Employee,MaritalStatus,boolean
Employee,ModifiedDate,date
Employee,NationalIDNumber,string
Employee,OrganizationLevel,num
Employee,OrganizationNode,string
Employee,SalariedFlag,boolean
Employee,SickLeaveHours,num
Employee,VacationHours,num
Employee,rowguid,string
EmployeeDepartmentHistory,BusinessEntityID,num
EmployeeDepartmentHistory,DepartmentID,num
EmployeeDepartmentHistory,EndDate,date
EmployeeDepartmentHistory,ModifiedDate,date
EmployeeDepartmentHistory,ShiftID,num
EmployeeDepartmentHistory,StartDate,date
EmployeePayHistory,BusinessEntityID,num
EmployeePayHistory,ModifiedDate,date
EmployeePayHistory,PayFrequency,num
EmployeePayHistory,Rate,num
EmployeePayHistory,RateChangeDate,date
JobCandidate,BusinessEntityID,string
JobCandidate,JobCandidateID,num
JobCandidate,ModifiedDate,date
JobCandidate,Resume,string
Location,Availability,num
Location,CostRate,num
Location,LocationID,num
Location,ModifiedDate,date
Location,Name,string
Password,BusinessEntityID,num
Password,ModifiedDate,date
Password,PasswordHash,string
Password,PasswordSalt,string
Password,rowguid,string
Person,AdditionalContactInfo,string
Person,BusinessEntityID,num
Person,Demographics,string
Person,EmailPromotion,num
Person,FirstName,string
Person,LastName,string
Person,MiddleName,string
Person,ModifiedDate,date
Person,NameStyle,boolean
Person,PersonType,string
Person,Suffix,string
Person,Title,string
Person,rowguid,string
PersonCreditCard,BusinessEntityID,num
PersonCreditCard,CreditCardID,num
PersonCreditCard,ModifiedDate,date
PhoneNumberType,ModifiedDate,date
PhoneNumberType,Name,string
PhoneNumberType,PhoneNumberTypeID,num
Product,Class,string
Product,Color,string
