table_name,column_name,column_type
City,CountryCode,string
City,District,string
City,ID,num
City,Name,string
City,Population,num
Country,Capital,num
Country,Code,string
Country,Code2,string
Country,Continent,string
Country,GNP,num
Country,GNPOld,num
Country,GovernmentForm,string
Country,HeadOfState,string
Country,IndepYear,num
Country,LifeExpectancy,num
Country,LocalName,string
Country,Name,string
Country,Population,num
Country,Region,string
Country,SurfaceArea,num
CountryLanguage,CountryCode,string
CountryLanguage,IsOfficial,boolean
CountryLanguage,Language,string
CountryLanguage,Percentage,num
