table_name,column_name,column_type
Country,Alpha2Code,string
Country,AlternativeConversionFactor,string
Country,BalanceOfPaymentsManualInUse,string
Country,CountryCode,string
Country,CurrencyUnit,string
Country,ExternalDebtReportingStatus,string
Country,GovernmentAccountingConcept,num
Country,ImfDataDisseminationStandard,string
Country,IncomeGroup,string
Country,LatestAgriculturalCensus,string
Country,LatestHouseholdSurvey,string
Country,LatestIndustrialData,string
Country,LatestPopulationCensus,string
Country,LatestTradeData,string
Country,LatestWaterWithdrawalData,num
Country,LendingCategory,string
Country,LongName,string
Country,NationalAccountsBaseYear,string
Country,NationalAccountsReferenceYear,string
Country,OtherGroups,string
Country,PppSurveyYear,string
Country,Region,string
Country,ShortName,string
Country,SnaPriceValuation,string
Country,SourceOfMostRecentIncomeAndExpenditureData,string
Country,SpecialNotes,string
Country,SystemOfNationalAccounts,string
Country,SystemOfTrade,string
Country,TableName,string
Country,VitalRegistrationComplete,string
Country,Wb2Code,string
CountryNotes,Countrycode,string
CountryNotes,Description,string
CountryNotes,Seriescode,string
Footnotes,Countrycode,string
Footnotes,Description,string
Footnotes,Seriescode,string
Footnotes,Year,string
Indicators,CountryCode,string
Indicators,CountryName,string
Indicators,IndicatorCode,string
Indicators,IndicatorName,string
Indicators,Value,num
Indicators,Year,num
Series,AggregationMethod,string
Series,BasePeriod,string
Series,DevelopmentRelevance,string
Series,GeneralComments,string
Series,IndicatorName,string
Series,LicenseType,string
Series,LimitationsAndExceptions,string
Series,LongDefinition,string
Series,NotesFromOriginalSource,string
Series,OtherNotes,num
Series,OtherWebLinks,num
Series,Periodicity,string
Series,RelatedIndicators,num
Series,RelatedSourceLinks,string
Series,SeriesCode,string
Series,ShortDefinition,string
Series,Source,string
Series,StatisticalConceptAndMethodology,string
Series,Topic,string
Series,UnitOfMeasure,string
SeriesNotes,Description,string
SeriesNotes,Seriescode,string
SeriesNotes,Year,string
