table_name,column_name,column_type
matches,best_of,num
matches,draw_size,num
matches,loser_age,num
matches,loser_entry,string
matches,loser_hand,string
matches,loser_ht,num
matches,loser_id,num
matches,loser_ioc,string
matches,loser_name,string
matches,loser_rank,num
matches,loser_rank_points,num
matches,loser_seed,num
matches,match_num,num
matches,minutes,num
matches,round,string
matches,score,string
matches,surface,string
matches,tourney_date,date
matches,tourney_id,string
matches,tourney_level,string
matches,tourney_name,string
matches,winner_age,num
matches,winner_entry,string
matches,winner_hand,string
matches,winner_ht,num
matches,winner_id,num
matches,winner_ioc,string
matches,winner_name,string
matches,winner_rank,num
matches,winner_rank_points,num
matches,winner_seed,num
matches,year,num
players,player_id,num
players,first_name,string
players,last_name,string
players,hand,string
players,birth_date,date
players,country_code,string
rankings,ranking_date,date
rankings,ranking,num
rankings,player_id,num
rankings,ranking_points,num
rankings,tours,num
