table_name,column_name,column_type
business,bid,num
business,business_id,string
business,name,string
business,full_address,string
business,city,string
business,latitude,string
business,longitude,string
business,review_count,num
business,is_open,num
business,rating,num
business,state,string
category,id,num
category,business_id,string
category,category_name,string
checkin,cid,num
checkin,business_id,string
checkin,count,num
checkin,day,string
neighbourhood,id,num
neighbourhood,business_id,string
neighbourhood,neighbourhood_name,string
review,rid,num
review,business_id,string
review,user_id,string
review,rating,num
review,text,string
review,year,num
review,month,string
tip,tip_id,num
tip,business_id,string
tip,text,string
tip,user_id,string
tip,likes,num
tip,year,num
tip,month,string
user,uid,num
user,user_id,string
user,name,string
