database_name	id	difficulty_tier	Num_tables	Num_joins	Num_subqueries	Max_nesting_depth	Num_aggs_plus_group_by	Advanced_feature_count
drawSQL-mysql-export-2026-01-13_cachet	1	EASY	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_cachet	2	EASY	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_cachet	3	EASY	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_cachet	4	EASY	1	0	0	2	0	0
drawSQL-mysql-export-2026-01-13_cachet	5	EASY	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_cachet	6	EASY	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_cachet	7	EASY	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_cachet	8	EASY	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_cachet	9	MEDIUM	3	2	2	3	2	0
drawSQL-mysql-export-2026-01-13_cachet	10	MEDIUM	2	1	0	1	2	0
drawSQL-mysql-export-2026-01-13_cachet	11	MEDIUM	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_cachet	12	MEDIUM	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_cachet	13	MEDIUM	1	0	0	1	2	0
drawSQL-mysql-export-2026-01-13_cachet	14	MEDIUM	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_cachet	15	MEDIUM	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_cachet	16	MEDIUM	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_cachet	17	HARD	2	1	0	0	0	0
drawSQL-mysql-export-2026-01-13_cachet	18	HARD	1	0	1	2	0	2
drawSQL-mysql-export-2026-01-13_cachet	19	HARD	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_cachet	20	HARD	2	0	1	2	2	1
drawSQL-mysql-export-2026-01-13_cachet	21	HARD	1	0	0	1	1	1
drawSQL-mysql-export-2026-01-13_cachet	22	HARD	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_cachet	23	HARD	3	2	0	0	0	0
drawSQL-mysql-export-2026-01-13_cachet	24	HARD	1	0	0	1	0	2
drawSQL-mysql-export-2026-01-13_comfy	25	EASY	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_comfy	26	EASY	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_comfy	27	EASY	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_comfy	28	EASY	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_comfy	29	EASY	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_comfy	30	EASY	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_comfy	31	EASY	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_comfy	32	EASY	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_comfy	33	MEDIUM	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_comfy	34	MEDIUM	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_comfy	35	MEDIUM	1	0	0	1	2	0
drawSQL-mysql-export-2026-01-13_comfy	36	MEDIUM	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_comfy	37	MEDIUM	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_comfy	38	MEDIUM	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_comfy	39	MEDIUM	2	0	1	2	2	1
drawSQL-mysql-export-2026-01-13_comfy	40	MEDIUM	2	1	0	0	0	0
drawSQL-mysql-export-2026-01-13_comfy	41	HARD	2	1	0	0	0	0
drawSQL-mysql-export-2026-01-13_comfy	42	HARD	1	0	1	2	0	2
drawSQL-mysql-export-2026-01-13_comfy	43	HARD	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_comfy	44	HARD	2	0	1	2	2	1
drawSQL-mysql-export-2026-01-13_comfy	45	HARD	1	0	0	1	1	1
drawSQL-mysql-export-2026-01-13_comfy	46	HARD	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_comfy	47	HARD	3	2	0	0	0	0
drawSQL-mysql-export-2026-01-13_comfy	48	HARD	1	0	0	1	0	2
drawSQL-mysql-export-2026-01-13_koel	49	EASY	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_koel	50	EASY	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_koel	51	EASY	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_koel	52	EASY	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_koel	53	EASY	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_koel	54	EASY	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_koel	55	EASY	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_koel	56	EASY	1	0	0	1	1	0
drawSQL-mysql-export-2026-01-13_koel	57	MEDIUM	1	0	0	0	0	0
drawSQL-mysql-export-2026-01-13_koel	58	MEDIUM	2	1	0	0	0	0
